iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct
23,aes-gcm,text_long,2000,322,330,5.923442959045031,5.7798443418560606,2016,16,0.8
24,aes-gcm,text_long,2000,362,304,5.268918875172652,6.274173134251645,2016,16,0.8
25,aes-gcm,text_long,2000,322,299,5.923442959045031,6.37909241743311,2016,16,0.8
26,aes-gcm,text_long,2000,299,299,6.37909241743311,6.37909241743311,2016,16,0.8
27,aes-gcm,text_long,2000,300,299,6.357828776041667,6.37909241743311,2016,16,0.8
28,aes-gcm,text_long,2000,311,310,6.132953803255626,6.152737525201613,2016,16,0.8
29,aes-gcm,text_long,2000,302,315,6.315723949710264,6.055075024801587,2016,16,0.8
30,aes-gcm,text_long,2000,327,312,5.832870436735474,6.113296900040064,2016,16,0.8
1,aes-gcm-siv,image_small,76301,21347,15151,3.408736778756419,4.802739358201656,76317,16,0.020969581001559615
2,aes-gcm-siv,image_small,76301,13015,11732,5.590956897127413,6.202378453470277,76317,16,0.020969581001559615
3,aes-gcm-siv,image_small,76301,10929,10422,6.658093514147066,6.981990406458768,76317,16,0.020969581001559615
4,aes-gcm-siv,image_small,76301,9989,10181,7.284643509471747,7.147264906798279,76317,16,0.020969581001559615
5,aes-gcm-siv,image_small,76301,10313,10323,7.055784351412129,7.0489493379941175,76317,16,0.020969581001559615
6,aes-gcm-siv,image_small,76301,10050,9967,7.24042826030978,7.3007227868077935,76317,16,0.020969581001559615
7,aes-gcm-siv,image_small,76301,10096,10135,7.207438987332932,7.179704392315075,76317,16,0.020969581001559615
8,aes-gcm-siv,image_small,76301,10184,10209,7.145159467410966,7.127662260369604,76317,16,0.020969581001559615
9,aes-gcm-siv,image_small,76301,10270,10232,7.085326583847447,7.111640345593558,76317,16,0.020969581001559615
10,aes-gcm-siv,image_small,76301,10239,10264,7.106778397901483,7.089468434929197,76317,16,0.020969581001559615
11,aes-gcm-siv,image_small,76301,10246,10263,7.101923093510958,7.090159214275873,76317,16,0.020969581001559615
12,aes-gcm-siv,image_small,76301,10300,10306,7.06468971030226,7.060576752970434,76317,16,0.020969581001559615
13,aes-gcm-siv,image_small,76301,10312,9924,7.056468581857378,7.332356309564014,76317,16,0.020969581001559615
14,aes-gcm-siv,image_small,76301,10196,10283,7.13675009965803,7.076369154537905,76317,16,0.020969581001559615
15,aes-gcm-siv,image_small,76301,10396,10418,6.999452098510319,6.984671147639977,76317,16,0.020969581001559615
16,aes-gcm-siv,image_small,76301,10454,10490,6.960618329454111,6.936730602108035,76317,16,0.020969581001559615
17,aes-gcm-siv,image_small,76301,10469,10437,6.950645144341703,6.971955927576246,76317,16,0.020969581001559615
18,aes-gcm-siv,image_small,76301,10516,10469,6.919580069999362,6.950645144341703,76317,16,0.020969581001559615
19,aes-gcm-siv,image_small,76301,10530,10473,6.910380248443807,6.947990453176099,76317,16,0.020969581001559615
20,aes-gcm-siv,image_small,76301,10502,10492,6.928804419740363,6.935408312629936,76317,16,0.020969581001559615
21,aes-gcm-siv,image_small,76301,10503,10481,6.928144722090192,6.942687149710264,76317,16,0.020969581001559615
22,aes-gcm-siv,image_small,76301,10529,10499,6.911036567206124,6.930784266702856,76317,16,0.020969581001559615
23,aes-gcm-siv,image_small,76301,10316,10380,7.053732456001675,7.0102412346929945,76317,16,0.020969581001559615
24,aes-gcm-siv,image_small,76301,10443,10383,6.967950207422511,7.008215738814724,76317,16,0.020969581001559615
25,aes-gcm-siv,image_small,76301,10457,10410,6.9586214034726295,6.9900388103855216,76317,16,0.020969581001559615
26,aes-gcm-siv,image_small,76301,10455,10415,6.959952560125612,6.986683054835648,76317,16,0.020969581001559615
27,aes-gcm-siv,image_small,76301,10436,10479,6.972623995411391,6.944012216443676,76317,16,0.020969581001559615
28,aes-gcm-siv,image_small,76301,10509,10426,6.9241891727198865,6.979311722243745,76317,16,0.020969581001559615
29,aes-gcm-siv,image_small,76301,10438,10407,6.971287987747967,6.992053811483933,76317,16,0.020969581001559615
30,aes-gcm-siv,image_small,76301,10478,10449,6.944674939503082,6.96394908757903,76317,16,0.020969581001559615
1,aes-gcm,image_small,76301,11874,11866,6.128204818604791,6.13233642475251,76317,16,0.020969581001559615
2,aes-gcm,image_small,76301,11918,11860,6.105580132246458,6.135438787193363,76317,16,0.020969581001559615
3,aes-gcm,image_small,76301,11873,11693,6.128720964887837,6.2230654251358315,76317,16,0.020969581001559615
4,aes-gcm,image_small,76301,11379,11584,6.3947889986917374,6.28162154835232,76317,16,0.020969581001559615
5,aes-gcm,image_small,76301,11858,11845,6.136473605676613,6.143208443741096,76317,16,0.020969581001559615
6,aes-gcm,image_small,76301,11782,11430,6.176057037524467,6.366255819432483,76317,16,0.020969581001559615
7,aes-gcm,image_small,76301,11704,11765,6.2172166794355155,6.184981216839208,76317,16,0.020969581001559615
8,aes-gcm,image_small,76301,11748,11754,6.193931223707294,6.190769441561449,76317,16,0.020969581001559615
9,aes-gcm,image_small,76301,11791,11785,6.171342890010456,6.174484854994763,76317,16,0.020969581001559615
10,aes-gcm,image_small,76301,11795,11770,6.169250022561533,6.182353782167654,76317,16,0.020969581001559615
11,aes-gcm,image_small,76301,11804,11783,6.164546256871677,6.17553288772921,76317,16,0.020969581001559615
12,aes-gcm,image_small,76301,11833,11792,6.149438351737791,6.170819540036743,76317,16,0.020969581001559615
13,aes-gcm,image_small,76301,11851,11819,6.140098220919186,6.156722566724197,76317,16,0.020969581001559615
14,aes-gcm,image_small,76301,11826,11821,6.1530783034088685,6.155680908223778,76317,16,0.020969581001559615
15,aes-gcm,image_small,76301,11879,11803,6.125625390698988,6.165068543261314,76317,16,0.020969581001559615
16,aes-gcm,image_small,76301,11840,11823,6.145802704063621,6.15463960214102,76317,16,0.020969581001559615
17,aes-gcm,image_small,76301,11872,11791,6.129237198122749,6.171342890010456,76317,16,0.020969581001559615
18,aes-gcm,image_small,76301,11821,11812,6.155680908223778,6.1603711493492455,76317,16,0.020969581001559615
19,aes-gcm,image_small,76301,11836,11813,6.14787969044553,6.159849658521399,76317,16,0.020969581001559615
20,aes-gcm,image_small,76301,11889,11798,6.120473043663326,6.167681303281343,76317,16,0.020969581001559615
21,aes-gcm,image_small,76301,11873,11833,6.128720964887837,6.149438351737791,76317,16,0.020969581001559615
22,aes-gcm,image_small,76301,11847,11821,6.142171352757093,6.155680908223778,76317,16,0.020969581001559615
23,aes-gcm,image_small,76301,11816,11864,6.158285715649398,6.133370196907728,76317,16,0.020969581001559615
24,aes-gcm,image_small,76301,11867,11800,6.131819669344677,6.166635933568922,76317,16,0.020969581001559615
25,aes-gcm,image_small,76301,11825,11831,6.153598648297106,6.150477898412077,76317,16,0.020969581001559615
26,aes-gcm,image_small,76301,11846,11819,6.142689854475205,6.156722566724197,76317,16,0.020969581001559615
27,aes-gcm,image_small,76301,11880,11626,6.125109765666101,6.25892860967773,76317,16,0.020969581001559615
28,aes-gcm,image_small,76301,11496,11754,6.329706334039082,6.190769441561449,76317,16,0.020969581001559615
29,aes-gcm,image_small,76301,11841,11900,6.14528367672606,6.114815463538931,76317,16,0.020969581001559615
30,aes-gcm,image_small,76301,11933,11892,6.09790530596776,6.118929029272897,76317,16,0.020969581001559615
1,aes-gcm-siv,image_medium,1178708,188114,162133,5.975650648769247,6.933218691707291,1178724,16,0.0013574184615697865
2,aes-gcm-siv,image_medium,1178708,174396,161189,6.44569569337931,6.973822941655933,1178724,16,0.0013574184615697865
3,aes-gcm-siv,image_medium,1178708,161683,161425,6.952515392110353,6.9636273572406875,1178724,16,0.0013574184615697865
4,aes-gcm-siv,image_medium,1178708,161857,161261,6.945041278057657,6.97070926102764,1178724,16,0.0013574184615697865
5,aes-gcm-siv,image_medium,1178708,162333,168212,6.924676720953707,6.682659656520213,1178724,16,0.0013574184615697865
6,aes-gcm-siv,image_medium,1178708,164659,163212,6.826857603547806,6.88738295065668,1178724,16,0.0013574184615697865
7,aes-gcm-siv,image_medium,1178708,174448,165332,6.443774340448605,6.799068215122166,1178724,16,0.0013574184615697865
8,aes-gcm-siv,image_medium,1178708,163573,163637,6.8721827327406,6.869494956168703,1178724,16,0.0013574184615697865
9,aes-gcm-siv,image_medium,1178708,163082,175906,6.892873193501295,6.390365002572841,1178724,16,0.0013574184615697865
10,aes-gcm-siv,image_medium,1178708,163757,163225,6.864461037650775,6.886834407367609,1178724,16,0.0013574184615697865
11,aes-gcm-siv,image_medium,1178708,168361,221247,6.676745482282584,5.080762885564903,1178724,16,0.0013574184615697865
12,aes-gcm-siv,image_medium,1178708,163995,162217,6.854498894128346,6.929628498508653,1178724,16,0.0013574184615697865
13,aes-gcm-siv,image_medium,1178708,162790,163004,6.90523709160623,6.896171542677346,1178724,16,0.0013574184615697865
14,aes-gcm-siv,image_medium,1178708,162143,161600,6.932791092693352,6.956086300387241,1178724,16,0.0013574184615697865
15,aes-gcm-siv,image_medium,1178708,162155,164078,6.932278043492819,6.851031498083705,1178724,16,0.0013574184615697865
16,aes-gcm-siv,image_medium,1178708,162686,162399,6.909651390670237,6.921862487715924,1178724,16,0.0013574184615697865
17,aes-gcm-siv,image_medium,1178708,167531,173409,6.709824128922874,6.48238295672415,1178724,16,0.0013574184615697865
18,aes-gcm-siv,image_medium,1178708,174743,166547,6.432896002372502,6.74946739444468,1178724,16,0.0013574184615697865
19,aes-gcm-siv,image_medium,1178708,166270,197210,6.76071177087014,5.700033193765925,1178724,16,0.0013574184615697865
20,aes-gcm-siv,image_medium,1178708,164312,161613,6.841274807333476,6.955526759249429,1178724,16,0.0013574184615697865
21,aes-gcm-siv,image_medium,1178708,162454,161739,6.919519040113375,6.950108175162318,1178724,16,0.0013574184615697865
22,aes-gcm-siv,image_medium,1178708,165679,163770,6.7848281685824885,6.863916139357502,1178724,16,0.0013574184615697865
23,aes-gcm-siv,image_medium,1178708,162378,164531,6.9227576774105986,6.832168686403037,1178724,16,0.0013574184615697865
24,aes-gcm-siv,image_medium,1178708,174882,164155,6.4277829973500875,6.8478178924953745,1178724,16,0.0013574184615697865
25,aes-gcm-siv,image_medium,1178708,164840,170848,6.819361478661601,6.57955344014901,1178724,16,0.0013574184615697865
26,aes-gcm-siv,image_medium,1178708,169816,167251,6.619538477779351,6.721057250136489,1178724,16,0.0013574184615697865
27,aes-gcm-siv,image_medium,1178708,184031,179704,6.10822929909949,6.2553062043281065,1178724,16,0.0013574184615697865
28,aes-gcm-siv,image_medium,1178708,163085,162810,6.8927463969253955,6.904388834485462,1178724,16,0.0013574184615697865
29,aes-gcm-siv,image_medium,1178708,163483,162061,6.875965978986061,6.9362989623819304,1178724,16,0.0013574184615697865
30,aes-gcm-siv,image_medium,1178708,162392,161788,6.9221608585557055,6.948003227325748,1178724,16,0.0013574184615697865
1,aes-gcm,image_medium,1178708,184673,186917,6.086994558720431,6.013918189049568,1178724,16,0.0013574184615697865
